n,pkmn,dex,evfrom,method
1,Vaporeon,134,Eevee,Water Stone
2,Jolteon,135,Eevee,Thunderstone
3,Flareon,136,Eevee,Fire Stone
4,Bellossom,182,Gloom,Sun Stone
5,Politoed,186,Poliwhirl,Trade holding Kings Rock
6,Espeon,196,Eevee,High Friendship during Day
7,Umbreon,197,Eevee,High Friendship during Night
8,Slowking,199,Slowpoke,Trade holding Kings Rock
9,Leafeon,470,Eevee,Leaf Stone
10,Glaceon,471,Eevee,Ice Stone
11,Sylveon,700,Eevee,High Friendship with Fairy-type move
12,Kleavor,901,Scyther,Black Augurite
