pkmn,evfrom,evto
Ivysaur,Bulbasaur,Venusaur
Charmeleon,Charmander,Charizard
Wartortle,Squirtle,Blastoise
Metapod,Caterpie,Butterfree
Kakuna,Weedle,Beedrill
Pidgeotto,Pidgey,Pidgeot
Pikachu,Pichu,Raichu
Nidorina,Nidoran♀,Nidoqueen
Nidorino,Nidoran♂,Nidoking
Clefairy,Cleffa,Clefable
Jigglypuff,Igglybuff,Wigglytuff
Gloom,Oddish,(multi)
Primeape,Mankey,Annihilape
Poliwhirl,Poliwag,(multi)
Kadabra,Abra,Alakazam
Machoke,Machop,Machamp
Weepinbell,Bellsprout,Victreebel
Graveler,Geodude,Golem
Magneton,Magnemite,Magnezone
Haunter,Gastly,Gengar
Rhydon,Rhyhorn,Rhyperior
Chansey,Happiny,Blissey
Seadra,Horsea,Kingdra
Electabuzz,Elekid,Electivire
Magmar,Magby,Magmortar
Dragonair,Dratini,Dragonite
