 pkdx |    pkmn    |  type1   |  type2   |   evfrom   |    evto    | gen |     abil      | mega | gmax 
------+------------+----------+----------+------------+------------+-----+---------------+------+------
    1 | Bulbasaur  | Grass    | Poison   |            | Ivysaur    |   1 | Overgrow      |    0 | f
    2 | Ivysaur    | Grass    | Poison   | Bulbasaur  | Venusaur   |   1 | Overgrow      |    0 | f
    3 | Venusaur   | Grass    | Poison   | Ivysaur    |            |   1 | Overgrow      |    1 | t
    4 | Charmander | Fire     |          |            | Charmeleon |   1 | Blaze         |    0 | f
    5 | Charmeleon | Fire     |          | Charmander | Charizard  |   1 | Blaze         |    0 | f
    6 | Charizard  | Fire     | Flying   | Charmeleon |            |   1 | Blaze         |    2 | t
    7 | Squirtle   | Water    |          |            | Wartortle  |   1 | Torrent       |    0 | f
    8 | Wartortle  | Water    |          | Squirtle   | Blastoise  |   1 | Torrent       |    0 | f
    9 | Blastoise  | Water    |          | Wartortle  |            |   1 | Torrent       |    1 | t
   10 | Caterpie   | Bug      |          |            | Metapod    |   1 | Shield Dust   |    0 | f
   11 | Metapod    | Bug      |          | Caterpie   | Butterfree |   1 | Shield Dust   |    0 | f
   12 | Butterfree | Bug      | Flying   | Metapod    |            |   1 | Compound Eyes |    0 | t
   13 | Weedle     | Bug      | Poison   |            | Kakuna     |   1 | Shield Dust   |    0 | f
   14 | Kakuna     | Bug      | Poison   | Weedle     | Beedrill   |   1 | Shed Skin     |    0 | f
   15 | Beedrill   | Bug      | Poison   | Kakuna     |            |   1 | Swarm         |    1 | f
   16 | Pidgey     | Normal   | Flying   |            | Pidgeotto  |   1 | Keen Eye      |    0 | f
   17 | Pidgeotto  | Normal   | Flying   | Pidgey     | Pidgeot    |   1 | Keen Eye      |    0 | f
   18 | Pidgeot    | Normal   | Flying   | Pidgeotto  |            |   1 | Keen Eye      |    1 | f
   19 | Rattata    | Normal   |          |            | Raticate   |   1 | Run Away      |    0 | f
   20 | Raticate   | Normal   |          | Rattata    |            |   1 | Run Away      |    0 | f
   21 | Spearow    | Normal   | Flying   |            | Fearow     |   1 | Keen Eye      |    0 | f
   22 | Fearow     | Normal   | Flying   | Spearow    |            |   1 | Keen Eye      |    0 | f
   23 | Ekans      | Poison   |          |            | Arbok      |   1 | Intimidate    |    0 | f
   24 | Arbok      | Poison   |          | Ekans      |            |   1 | Intimidate    |    0 | f
   25 | Pikachu    | Electric |          | Pichu      | Raichu     |   1 | Static        |    0 | t
   26 | Raichu     | Electric |          | Pikachu    |            |   1 | Static        |    2 | f
   27 | Sandshrew  | Ground   |          |            | Sandslash  |   1 | Sand Veil     |    0 | f
   28 | Sandslash  | Ground   |          | Sandshrew  |            |   1 | Sand Veil     |    0 | f
   29 | Nidoran♀   | Poison   |          |            | Nidorina   |   1 | Poison Point  |    0 | f
   30 | Nidorina   | Poison   |          | Nidoran♀   | Nidoqueen  |   1 | Poison Point  |    0 | f
   31 | Nidoqueen  | Poison   | Ground   | Nidorina   |            |   1 | Poison Point  |    0 | f
   32 | Nidoran♂   | Poison   |          |            | Nidorino   |   1 | Poison Point  |    0 | f
   33 | Nidorino   | Poison   |          | Nidoran♂   | Nidoking   |   1 | Poison Point  |    0 | f
   34 | Nidoking   | Poison   | Ground   | Nidorino   |            |   1 | Poison Point  |    0 | f
   35 | Clefairy   | Fairy    |          | Cleffa     | Clefable   |   1 | Cute Charm    |    0 | f
   36 | Clefable   | Fairy    |          | Clefairy   |            |   1 | Cute Charm    |    1 | f
   37 | Vulpix     | Fire     |          |            | Ninetales  |   1 | Flash Fire    |    0 | f
   38 | Ninetales  | Fire     |          | Vulpix     |            |   1 | Flash Fire    |    0 | f
   39 | Jigglypuff | Normal   |          | Igglybuff  | Wigglytuff |   1 | Cute Charm    |    0 | f
   40 | Wigglytuff | Normal   |          | Jigglypuff |            |   1 | Cute Charm    |    0 | f
   41 | Zubat      | Poison   | Flying   |            | Golbat     |   1 | Inner Focus   |    0 | f
   42 | Golbat     | Poison   | Flying   | Zubat      |            |   1 | Inner Focus   |    0 | f
   43 | Oddish     | Grass    | Poison   |            | Gloom      |   1 | Chlorophyll   |    0 | f
   44 | Gloom      | Grass    | Poison   | Oddish     | (multi)    |   1 | Chlorophyll   |    0 | f
   45 | Vileplume  | Grass    | Poison   | Gloom      |            |   1 | Chlorophyll   |    0 | f
   46 | Paras      | Bug      | Grass    |            | Parasect   |   1 | Effect Spore  |    0 | f
   47 | Parasect   | Bug      | Grass    | Paras      |            |   1 | Effect Spore  |    0 | f
   48 | Venonat    | Bug      | Poison   |            | Venomoth   |   1 | Compound Eyes |    0 | f
   49 | Venomoth   | Bug      | Poison   | Venonat    |            |   1 | Shield Dust   |    0 | f
