     abil     | n  
--------------+----
 Chlorophyll  | 10
 Swift Swim   |  8
 Run Away     |  7
 Rock Head    |  7
 Keen Eye     |  7
 Poison Point |  7
 Intimidate   |  6
 Water Absorb |  6
 Synchronize  |  6
 Cute Charm   |  5
 Oblivious    |  4
 Levitate     |  4
 Shield Dust  |  4
 Pressure     |  4
 Sand Veil    |  4
 Overgrow     |  3
 Soundproof   |  3
 Inner Focus  |  3
 Limber       |  3
 Shed Skin    |  3
 Guts         |  3
 Hyper Cutter |  3
 Torrent      |  3
 Flash Fire   |  3
 Static       |  3
 Blaze        |  3
 Damp         |  2
 Insomnia     |  2
 Vital Spirit |  2
 Clear Body   |  2
 Lightningrod |  2
 Illuminate   |  2
 Stench       |  2
 Effect Spore |  2
 Shell Armor  |  2
 Magnet Pull  |  2
 Swarm        |  2
 Compoundeyes |  2
 Thick Fat    |  2
 Immunity     |  1
 Natural Cure |  1
 Snow Cloak   |  1
 Cursed Body  |  1
 Pickup       |  1
 Flame Body   |  1
 Own Tempo    |  1
 Volt Absorb  |  1
 Trace        |  1
 Early Bird   |  1
 Leaf Guard   |  1
(50 rows)
