pkmn,type1,type2
Bulbasaur,Grass,Poison
Ivysaur,Grass,Poison
Venusaur,Grass,Poison
Charizard,Fire,Flying
Butterfree,Bug,Flying
Weedle,Bug,Poison
Kakuna,Bug,Poison
Beedrill,Bug,Poison
Pidgey,Normal,Flying
Pidgeotto,Normal,Flying
Pidgeot,Normal,Flying
Spearow,Normal,Flying
Fearow,Normal,Flying
Nidoqueen,Poison,Ground
Nidoking,Poison,Ground
Jigglypuff,Normal,Fairy
Wigglytuff,Normal,Fairy
Zubat,Poison,Flying
Golbat,Poison,Flying
Oddish,Grass,Poison
Gloom,Grass,Poison
Vileplume,Grass,Poison
Paras,Bug,Grass
Parasect,Bug,Grass
Venonat,Bug,Poison
Venomoth,Bug,Poison
Poliwrath,Water,Fight
Bellsprout,Grass,Poison
Weepinbell,Grass,Poison
Victreebel,Grass,Poison
Tentacool,Water,Poison
Tentacruel,Water,Poison
Geodude,Rock,Ground
Graveler,Rock,Ground
Golem,Rock,Ground
Slowpoke,Water,Psychc
Slowbro,Water,Psychc
Magnemite,Electr,Steel
Magneton,Electr,Steel
Farfetchd,Normal,Flying
Doduo,Normal,Flying
Dodrio,Normal,Flying
Dewgong,Water,Ice
Cloyster,Water,Ice
Gastly,Ghost,Poison
Haunter,Ghost,Poison
Gengar,Ghost,Poison
Onix,Rock,Ground
Exeggcute,Grass,Psychc
Exeggutor,Grass,Psychc
Rhyhorn,Ground,Rock
Rhydon,Ground,Rock
Starmie,Water,Psychc
Mr.Mime,Psychc,Fairy
Scyther,Bug,Flying
Jynx,Ice,Psychc
Gyarados,Water,Flying
Lapras,Water,Ice
Omanyte,Rock,Water
Omastar,Rock,Water
Kabuto,Rock,Water
Kabutops,Rock,Water
Aerodactyl,Rock,Flying
Articuno,Ice,Flying
Zapdos,Electr,Flying
Moltres,Fire,Flying
Dragonite,Dragon,Flying
Slowking,Water,Psychc
