pkmn,evto,evfrom
Ivysaur,Venusaur,Bulbasaur
Charmeleon,Charizard,Charmander
Wartortle,Blastoise,Squirtle
Metapod,Butterfree,Caterpie
Kakuna,Beedrill,Weedle
Pidgeotto,Pidgeot,Pidgey
Pikachu,Raichu,Pichu
Nidorina,Nidoqueen,Nidoran♀
Nidorino,Nidoking,Nidoran♂
Clefairy,Clefable,Cleffa
Jigglypuff,Wigglytuff,Igglybuff
Golbat,Crobat,Zubat
Gloom,(multi),Oddish
Primeape,Annihilape,Mankey
Poliwhirl,(multi),Poliwag
Kadabra,Alakazam,Abra
Machoke,Machamp,Machop
Weepinbell,Victreebel,Bellsprout
Graveler,Golem,Geodude
Magneton,Magnezone,Magnemite
Haunter,Gengar,Gastly
Rhydon,Rhyperior,Rhyhorn
Chansey,Blissey,Happiny
Seadra,Kingdra,Horsea
Electabuzz,Electivire,Elekid
Magmar,Magmortar,Magby
Dragonair,Dragonite,Dratini

