    pkmn    | type1 | type2  
------------+-------+--------
 Squirtle   | Water | 
 Wartortle  | Water | 
 Blastoise  | Water | 
 Psyduck    | Water | 
 Golduck    | Water | 
 Poliwag    | Water | 
 Poliwhirl  | Water | 
 Poliwrath  | Water | Fight
 Tentacool  | Water | Poison
 Tentacruel | Water | Poison
 Slowpoke   | Water | Psychc
 Slowbro    | Water | Psychc
 Seel       | Water | 
 Dewgong    | Water | Ice
 Shellder   | Water | 
 Cloyster   | Water | Ice
 Krabby     | Water | 
 Kingler    | Water | 
 Horsea     | Water | 
 Seadra     | Water | 
 Goldeen    | Water | 
 Seaking    | Water | 
 Staryu     | Water | 
 Starmie    | Water | Psychc
 Magikarp   | Water | 
 Gyarados   | Water | Flying
 Lapras     | Water | Ice
 Vaporeon   | Water | 
 Omanyte    | Rock  | Water
 Omastar    | Rock  | Water
 Kabuto     | Rock  | Water
 Kabutops   | Rock  | Water
 Politoed   | Water | 
 Slowking   | Water | Psychc
